"gene_name","poison_exon","E_junc","case","stop_codon","range_tau","min_tau","range_psi1","cor_psi1_tau","cor_psi1_tau_pval","cor_psi1_tau_qval","PAS","PAS_source","pAread","polyASite","I2_split_reads"
"SIKE1","chr1_114778932_114779050_-","chr1_114776459_114779142_-","II",114779018,0.361,0.639,0.151,-0.385,0.003,0.012,"114776536","polyASite,pAread",96,0.01,NA
"SIRPB1","chr20_1566354_1566487_-","chr20_1566267_1570805_-","III",1566480,0,1,0.385,NA,NA,NA,"1566397","TE",NA,NA,13619
"SKP2","chr5_36178598_36178810_+","chr5_36177292_36183840_+","I",36178613,0.154,0.846,0.828,0.222,0.923,1,"36179131","TE",0,0,NA
"SLC13A5","chr17_6687541_6687836_-","chr17_6686338_6690779_-","III",6687777,0.219,0.781,0.287,-0.238,0.206,0.401,"6687353","TE",NA,NA,128
"SLC15A4","chr12_128798811_128799034_-","chr12_128794356_128799259_-","III",128798880,0.06,0.94,0.031,-0.231,0.051,0.129,"128798118","TE",NA,NA,1556
"SLC15A4","chr12_128798811_128799064_-","chr12_128794356_128799259_-","III",128798880,0.06,0.94,0.077,-0.233,0.05,0.129,"128798118","TE",NA,NA,1556
"SLC22A4","chr5_132302441_132302628_+","chr5_132295009_132312161_+","III",132302506,0,1,0.333,NA,NA,NA,"132306384","TE",NA,NA,411
"SLC22A7","chr6_43303085_43303879_+","chr6_43302763_43304038_+","III",43303271,0,1,0.333,NA,NA,NA,"43304031","TE",NA,NA,315
"SLC25A43","chrX_119426182_119426354_+","chrX_119410362_119452009_+","II",119426262,0.157,0.843,0.126,0.102,0.75,1,"119431555","pAread",241,0,NA
"SLC2A13","chr12_39822629_39822718_-","chr12_39764858_39830103_-","II",39822712,0,1,0.026,NA,NA,NA,"39812832","pAread",803,0,NA
"SLC38A6","chr14_61052349_61052985_+","chr14_61052135_61078830_+","I",61052429,0.369,0.631,0.411,0.124,0.805,1,"61052616","TE,polyASite,pAread",6093,0.195,NA
"SLC66A2","chr18_79915387_79916479_-","chr18_79904183_79919184_-","II",79916431,0,1,0.162,NA,NA,NA,"79907323","pAread",1840,0,NA
"SLCO2A1","chr3_133936015_133936326_-","chr3_133935897_133938429_-","III",133936253,0,1,0.037,NA,NA,NA,"133935906","TE",NA,NA,334
"SLCO2A1","chr3_133936028_133936326_-","chr3_133935897_133938429_-","III",133936253,0,1,0.037,NA,NA,NA,"133935906","TE",NA,NA,24652
"SLCO2A1","chr3_133936148_133936326_-","chr3_133935897_133938429_-","III",133936253,0,1,0.037,NA,NA,NA,"133935906","TE",NA,NA,1975
"SMAD6","chr15_66717009_66717140_+","chr15_66716498_66780997_+","II",66717073,0.14,0.86,0,-0.183,0.101,0.232,"66756254","pAread",56,0,NA
"SMN1","chr5_70946707_70946815_+","chr5_70946176_70951941_+","III",70946757,0,1,0.03,NA,NA,NA,"70946924","TE",NA,NA,2579
"SMN2","chr5_70071282_70071390_+","chr5_70070751_70076521_+","III",70071332,0,1,0.161,NA,NA,NA,"70071499","TE",NA,NA,844
"SNAP47","chr1_227775789_227776725_+","chr1_227767083_227780527_+","III",227775881,0,1,0.007,NA,NA,NA,"227776970","TE",NA,NA,110
"SP110","chr2_230176193_230176724_-","chr2_230172959_230177538_-","III",230176665,0.151,0.108,0.214,-0.73,0,0,"230176475","TE",NA,NA,746
"SPATA17","chr1_217652253_217656512_+","chr1_217651178_217669033_+","III",217652564,0.12,0.806,0.103,-1,NA,NA,"217656641","TE",NA,NA,219
"SPATA17","chr1_217656356_217656512_+","chr1_217651178_217669033_+","III",217656373,0.12,0.806,0.028,1,NA,NA,"217656670","TE",NA,NA,219
"SPATA33","chr16_89660540_89661111_+","chr16_89658421_89669286_+","III",89660550,0.245,0.755,0.528,-0.148,0.157,0.328,"89661508","TE",NA,NA,409
"SPG7","chr16_89545872_89546181_+","chr16_89544772_89546658_+","II",89545958,0.115,0.885,0.346,0.301,0.984,1,"89546581","pAread",357,0,NA
"SPRYD7","chr13_49916564_49918221_-","chr13_49915160_49921478_-","III",49918178,0.239,0.761,0.064,-0.236,0.048,0.125,"49915737","TE",NA,NA,687
"SPRYD7","chr13_49917336_49918221_-","chr13_49915160_49921478_-","III",49918178,0.239,0.761,0.064,-0.236,0.048,0.125,"49915737,49917103","TE",NA,NA,604
"SPRYD7","chr13_49918093_49918221_-","chr13_49915160_49921478_-","III",49918178,0.239,0.761,0.064,-0.236,0.048,0.125,"49915737,49917103","TE",NA,NA,13964
"SRGAP2","chr1_206454144_206454617_+","chr1_206453380_206454878_+","III",206454156,0,1,0.596,NA,NA,NA,"206454700","TE",NA,NA,101
"SSR1","chr6_7287862_7287922_-","chr6_7269154_7289868_-","I",7287913,0.609,0.01,0.443,0.351,0.994,1,"7281109","TE,polyASite,pAread",149937,238.3,NA
"ST3GAL3","chr1_43858135_43858308_+","chr1_43838311_43894383_+","II",43858198,0.145,0.855,0.159,-0.156,0.137,0.295,"43862770","pAread",165,0,NA
"ST7L","chr1_112540779_112540872_-","chr1_112526111_112541951_-","I",112540834,0.147,0.853,0.384,0.481,1,1,"112540787","TE,polyASite,pAread",700,1.281,NA
"STARD4","chr5_111500267_111500470_-","chr5_111500106_111501002_-","III",111500454,0.231,0.769,0.092,-0.198,0.098,0.227,"111500297","TE",NA,NA,17731
"STAT4","chr2_191038805_191038961_-","chr2_191036299_191039199_-","III",191038893,0.134,0.859,0.054,0.137,0.738,1,"191038831","TE",NA,NA,1697
"STK24","chr13_98456130_98456560_-","chr13_98453209_98457168_-","III",98456464,0.08,0.92,0.019,-0.141,0.161,0.331,"98455982","TE",NA,NA,1293
"STK3","chr8_98594861_98595750_-","chr8_98579789_98596032_-","II",98595667,0,1,0.141,NA,NA,NA,"98595293","pAread",136,0,NA
"STX18","chr4_4419950_4420129_-","chr4_4416163_4420864_-","III",4420034,0.184,0.016,0.005,-0.152,0.144,0.309,"4418968","TE",NA,NA,269
"STXBP5L","chr3_121294724_121296614_+","chr3_121279956_121318475_+","III",121294854,0.416,0.584,0.23,0.108,0.591,0.93,"121307789","TE",NA,NA,108
"STXBP5L","chr3_121294724_121296614_+","chr3_121282337_121318475_+","I",121294854,0,1,0.25,NA,NA,NA,"121307789","TE",0,0,NA
"STYXL1","chr7_75998981_75999134_-","chr7_75996599_76000890_-","III",75999096,0,1,0.008,NA,NA,NA,"75998545","TE",NA,NA,786
"SULF1","chr8_69642224_69642398_+","chr8_69640841_69658505_+","II",69642296,0,1,0.006,NA,NA,NA,"69643577","pAread",349,0,NA
"SUPT3H","chr6_44950043_44950183_-","chr6_44932763_44953310_-","II",44950181,0.12,0.88,0.082,-0.125,0.196,0.384,"44937902","pAread",104,0,NA
"SUSD1","chr9_112052155_112052349_-","chr9_112041960_112058428_-","II",112052302,0,1,0.639,NA,NA,NA,"112047071","pAread",92,0,NA
"SYN2","chr3_12178359_12178991_+","chr3_12169906_12183312_+","III",12178586,0.195,0.793,0.161,-0.167,0.207,0.401,"12179398","TE",NA,NA,157
"SYNGAP1","chr6_33448789_33448868_+","chr6_33447933_33451760_+","I",33448803,0.234,0.541,0.756,-0.526,0,0,"33449167","TE",0,0,NA
"TBCK","chr4_106091321_106091745_-","chr4_106046680_106095482_-","III",106091743,0.136,0.864,0.007,0.055,0.648,0.979,"106091706","TE",NA,NA,149
"TBXAS1","chr7_139913065_139913412_+","chr7_139911321_139936191_+","III",139913187,0.223,0.747,0.058,0.012,0.527,0.851,"139914029","TE",NA,NA,3357
"TBXAS1","chr7_140016392_140016512_+","chr7_140015860_140017671_+","III",140016416,0.113,0.887,0.155,0.249,0.944,1,"140016579","TE",NA,NA,3243
"TBXAS1","chr7_140016392_140016864_+","chr7_140015860_140017671_+","III",140016416,0.113,0.887,0.155,0.249,0.944,1,"140016579","TE",NA,NA,1601
"TCERG1","chr5_146485138_146485250_+","chr5_146483629_146492920_+","II",146485152,0.026,0.974,0.001,0.065,0.675,1,"146485645","polyASite,pAread",1006,0.159,NA
"TCERG1","chr5_146510067_146510160_+","chr5_146509245_146510441_+","II",146510070,0,1,0.343,NA,NA,NA,"146510345","pAread",670,0,NA
"THAP3","chr1_6632796_6633454_+","chr1_6632495_6634020_+","I",6633077,0.314,0.033,0.022,-0.742,0,0,"6633537","TE,polyASite,pAread",13661,13.363,NA
"THAP3","chr1_6632914_6633454_+","chr1_6632495_6634020_+","III",6632922,0.314,0.033,0.52,-0.768,0,0,"6633562","TE",NA,NA,1422
"THAP6","chr4_75526960_75527598_+","chr4_75516979_75539859_+","III",75527214,0.782,0.205,0.349,-0.525,0,0.001,"75530026","TE",NA,NA,873
"THAP6","chr4_75526960_75527598_+","chr4_75521861_75539859_+","III",75527214,0.785,0.215,0.786,-0.63,0,0,"75530026","TE",NA,NA,873
"THEM6","chr8_142728961_142729490_+","chr8_142727859_142735326_+","II",142729218,0,1,0.21,NA,NA,NA,"142729206","polyASite,pAread",5169,1.128,NA
"THSD4","chr15_71766699_71766849_+","chr15_71765199_71771064_+","III",71766734,0.057,0.943,0.014,0.144,0.748,1,"71767651","TE",NA,NA,597
"TIA1","chr2_70215125_70215233_-","chr2_70214494_70215371_-","II",70215195,0.015,0.985,0.055,-0.15,0.147,0.311,"70215022","pAread",294,0,NA
"TLK1","chr2_171022872_171023129_-","chr2_171014948_171028339_-","II",171023124,0.138,0.809,0.291,0.144,0.844,1,"171017640","polyASite,pAread",263,3,NA
"TM2D3","chr15_101642410_101642644_-","chr15_101633728_101645087_-","III",101642479,0.29,0.018,0.249,-0.978,0,0,"101641848","TE",NA,NA,321
"TMCO3","chr13_113536521_113537755_+","chr13_113534240_113538760_+","I",113536613,0.98,0.02,1,0.093,0.68,1,"113536971","TE",0,0,NA
"TMED3","chr15_79314541_79314655_+","chr15_79314005_79321978_+","I",79314564,0,1,0.036,NA,NA,NA,"79315277","TE",0,0,NA
"TMEM179","chr14_104593927_104594076_-","chr14_104593658_104595165_-","III",104594014,0.075,0.925,0.279,-0.789,0,0.001,"104593665","TE",NA,NA,1441
"TMEM222","chr1_27334667_27334754_+","chr1_27334281_27335379_+","I",27334691,0.17,0.83,0.187,-0.255,0.036,0.105,"27334896","TE",0,0,NA
"TMEM41B","chr11_9286455_9286593_-","chr11_9283593_9287702_-","II",9286589,0.145,0.855,0.005,0.271,0.973,1,"9285064","pAread",115,0,NA
"TMEM45A","chr3_100570609_100571319_+","chr3_100568967_100576925_+","II",100570759,0.302,0.698,0.235,-0.422,0.002,0.007,"100570896","polyASite,pAread",702,0.607,NA
"TMTC1","chr12_29528346_29528482_-","chr12_29520720_29536209_-","III",29528447,0.149,0.851,0.158,-0.371,0.006,0.024,"29521589","TE",NA,NA,960
"TP63","chr3_189880064_189880422_+","chr3_189872995_189886394_+","III",189880178,0.74,0.26,0.867,-0.037,0.459,0.762,"189881496,189881503","TE",NA,NA,194
"TPGS2","chr18_36794224_36797050_-","chr18_36787079_36798449_-","III",36796805,0.35,0.052,0.324,-0.959,0,0,"36794108","TE",NA,NA,850
"TPM2","chr9_35682524_35683241_-","chr9_35682163_35684246_-","I",35683159,0.582,0.017,0.988,-0.892,0,0,"35682908","TE,polyASite,pAread",223630,174.638,NA
"TRABD2A","chr2_84836282_84838241_-","chr2_84832145_84839149_-","I",84838231,0,1,0.237,NA,NA,NA,"84835919","TE,polyASite,pAread",1957,2.405,NA
"TRABD2B","chr1_47765290_47766106_-","chr1_47761280_47775170_-","II",47765902,0.299,0.701,0.221,-0.2,0.125,0.277,"47765623","polyASite,pAread",621,6.875,NA
"TRAF3IP3","chr1_209779431_209779569_+","chr1_209778173_209780470_+","III",209779453,0.424,0.576,0.16,0.312,0.916,1,"209779655","TE",NA,NA,1811
"TREM1","chr6_41275084_41276230_-","chr6_41268088_41280961_-","I",41276125,0.327,0.097,0.064,-0.364,0.137,0.295,"41273595","TE,polyASite,pAread",14323,0.924,NA
"TRIM46","chr1_155180435_155180679_+","chr1_155179934_155181852_+","III",155180502,0.278,0.722,0.626,-0.397,0.051,0.129,"155180633","TE",NA,NA,211
"TRIM9","chr14_50996182_50996331_-","chr14_50986144_50998050_-","I",50996273,0.658,0.342,0.007,0.611,0.994,1,"50996063","TE,polyASite,pAread",1106,2.143,NA
"TRMT44","chr4_8475530_8476487_+","chr4_8471200_8508798_+","III",8475627,0.87,0.092,0.199,-0.612,0,0,"8476555","TE",NA,NA,695
"TRMT44","chr4_8475772_8476487_+","chr4_8471200_8508798_+","III",8476001,0.87,0.092,0.67,-0.925,0,0,"8476555","TE",NA,NA,695
"TRPC4AP","chr20_35003873_35004364_-","chr20_35003616_35004458_-","III",35004140,0.139,0.831,0.056,0.106,0.771,1,"35004057","TE",NA,NA,203275
"TSNAX","chr1_231563465_231563629_+","chr1_231561255_231564528_+","II",231563497,0.328,0.672,0.151,-0.115,0.21,0.402,"231564435","polyASite,pAread",3261,0.626,NA
"TSPAN11","chr12_30983310_30983419_+","chr12_30983150_30991856_+","I",30983348,0,1,0.074,NA,NA,NA,"30984520","TE",0,0,NA
"TTC17","chr11_43467235_43467395_+","chr11_43451265_43490239_+","II",43467252,0,1,0,NA,NA,NA,"43472873","pAread",342,0,NA
"TTC22","chr1_54784674_54785644_-","chr1_54782477_54785983_-","III",54785546,0.292,0.659,0.015,-0.187,0.215,0.408,"54784551","TE",NA,NA,111
"TUBGCP5","chr15_22995099_22995240_-","chr15_22992382_23000569_-","II",22995197,0.273,0.059,1,-0.482,0.002,0.008,"22993087","polyASite,pAread",155,0.015,NA
"TUSC3","chr8_15758030_15760208_+","chr8_15748465_15764203_+","III",15758081,0.163,0.837,0.03,-0.263,0.034,0.101,"15760667","TE",NA,NA,1118
"TXNDC8","chr9_110308813_110308947_-","chr9_110304532_110326175_-","III",110308885,0,0.328,0,NA,NA,NA,"110308498","TE",NA,NA,102
"TXNRD2","chr22_19894197_19895200_-","chr22_19883461_19895407_-","III",19895133,0,1,0.36,NA,NA,NA,"19893908","TE",NA,NA,7278
"TXNRD2","chr22_19895001_19895200_-","chr22_19883461_19895407_-","III",19895133,0,1,0.36,NA,NA,NA,"19893908","TE",NA,NA,182
"TXNRD2","chr22_19895048_19895200_-","chr22_19883461_19895407_-","III",19895133,0,1,0.36,NA,NA,NA,"19893908","TE",NA,NA,687
"TYW1","chr7_67203744_67203899_+","chr7_67195337_67238308_+","I",67203797,0.065,0.935,0.092,0.133,0.824,1,"67229791","TE,pAread",214,0,NA
"UBE2L3","chr22_21614557_21614665_+","chr22_21611043_21621515_+","II",21614612,0.212,0.629,0.228,-0.139,0.166,0.336,"21614769","polyASite,pAread",324,0.324,NA
"UBE2Q2","chr15_75887257_75889088_+","chr15_75883424_75890435_+","III",75887299,0.038,0.962,0.002,0.171,0.885,1,"75890428","TE",NA,NA,1366
"UBE2U","chr1_64244130_64245664_+","chr1_64241733_64260603_+","III",64244133,0,0.636,0.691,NA,NA,NA,"64246274","TE",NA,NA,775
"UBE2U","chr1_64244130_64245664_+","chr1_64241733_64260603_+","III",64244159,0,0.636,0.691,NA,NA,NA,"64246274","TE",NA,NA,775
"UBE2W","chr8_73795791_73795914_-","chr8_73794115_73805651_-","II",73795889,0,1,0.046,NA,NA,NA,"73794160","polyASite,pAread",70,0.015,NA
"UBE2W","chr8_73796607_73796690_-","chr8_73794115_73805651_-","II",73796674,0,1,0.074,NA,NA,NA,"73794160","polyASite,pAread",70,0.015,NA
"UFM1","chr13_38355011_38355071_+","chr13_38354296_38358093_+","II",38355013,0.061,0.939,0,NA,NA,NA,"38356746","pAread",124,0,NA
"UGGT2","chr13_95815809_95816104_-","chr13_95801812_95832927_-","III",95815941,0.09,0.519,0.098,-0.854,0,0,"95815251","TE",NA,NA,638
"UGT1A10","chr2_233769531_233769664_+","chr2_233768439_233772262_+","II",233769561,0.385,0.615,0.927,-0.65,0.005,0.021,"233770017","polyASite,pAread",2924,1.247,NA
"UGT1A6","chr2_233769531_233769664_+","chr2_233768439_233772262_+","II",233769561,0.385,0.615,0.927,-0.65,0.005,0.021,"233770017","polyASite,pAread",8772,3.74,NA
"UGT1A7","chr2_233769531_233769664_+","chr2_233768439_233772262_+","II",233769561,0.385,0.615,0.927,-0.65,0.005,0.021,"233770017","polyASite,pAread",2924,1.247,NA
"UGT3A1","chr5_35962763_35962951_-","chr5_35957419_35965386_-","III",35962874,0,1,0.32,NA,NA,NA,"35960756","TE",NA,NA,938
"UROS","chr10_125792579_125794388_-","chr10_125789528_125794880_-","III",125794377,0.278,0.026,0.758,0.348,0.993,1,"125791520","TE",NA,NA,101
"UROS","chr10_125794022_125794388_-","chr10_125789528_125794880_-","III",125794377,0.278,0.026,0.758,0.348,0.993,1,"125791520","TE",NA,NA,377
"USB1","chr16_58011018_58011565_+","chr16_58010112_58014273_+","III",58011129,0.071,0.929,0.113,-0.468,0,0.001,"58013558","TE",NA,NA,598
"USB1","chr16_58011018_58011612_+","chr16_58010112_58014273_+","III",58011129,0.071,0.929,0.113,-0.468,0,0.001,"58013558","TE",NA,NA,956
"USP44","chr12_95523306_95523598_-","chr12_95521202_95524680_-","II",95523478,0,0.951,0.002,NA,NA,NA,"95522784","pAread",228,0,NA
"UVRAG","chr11_76012927_76013102_+","chr11_76008867_76016815_+","II",76012976,0.051,0.949,0.029,-0.014,0.463,0.764,"76015619","pAread",89,0,NA
"UVRAG","chr11_76123179_76123441_+","chr11_76116015_76140711_+","II",76123350,0,1,0,NA,NA,NA,"76137750","pAread",487,0,NA
"VIPAS39","chr14_77430035_77430169_-","chr14_77429767_77433842_-","III",77430119,0,1,0.014,NA,NA,NA,"77429774","TE",NA,NA,386
"VNN2","chr6_132749041_132749366_-","chr6_132744491_132749695_-","III",132749358,0.02,0.98,0.057,0.14,0.698,1,"132749043","TE",NA,NA,129
"VPS13A","chr9_77390046_77390142_+","chr9_77382087_77403236_+","II",77390063,0.658,0.24,0.051,0.547,1,1,"77399198","pAread",1410,0,NA
"VPS45","chr1_150098850_150099080_+","chr1_150093648_150110496_+","II",150098868,0,1,0.187,NA,NA,NA,"150099136","polyASite,pAread",864,0.179,NA
"VRK3","chr19_49981818_49982188_-","chr19_49981013_49988372_-","I",49982167,0.56,0.39,0.308,-0.278,0.024,0.074,"49981679","TE,polyASite,pAread",20964,0.036,NA
"VSX1","chr20_25073604_25076550_-","chr20_25072643_25077685_-","I",25076261,0,1,0.746,NA,NA,NA,"25075452","TE,polyASite,pAread",168,0.361,NA
"WASHC3","chr12_102019277_102019371_-","chr12_102017805_102025974_-","III",102019362,0.159,0.022,0.708,0.622,1,1,"102019277","TE",NA,NA,2733
"WASHC3","chr12_102019285_102019371_-","chr12_102017805_102025974_-","III",102019362,0.159,0.022,0.708,0.622,1,1,"102019277","TE",NA,NA,359
"WDPCP","chr2_63209423_63209656_-","chr2_63174832_63259311_-","III",63209639,0,1,0.214,NA,NA,NA,"63209576","TE",NA,NA,672
"WDPCP","chr2_63209423_63209656_-","chr2_63174832_63259307_-","II",63209550,0,1,0.042,NA,NA,NA,"63194782","polyASite,pAread",51,0.003,NA
"WDR20","chr14_102208862_102209862_+","chr14_102197847_102212520_+","III",102208876,0,0.139,0,NA,NA,NA,"102210527","TE",NA,NA,357
"WDSUB1","chr2_159241071_159241876_-","chr2_159236190_159248372_-","III",159241863,0,1,0.021,NA,NA,NA,"159240360","TE",NA,NA,2118
"WDSUB1","chr2_159241685_159241876_-","chr2_159236190_159248372_-","III",159241863,0,1,0.021,NA,NA,NA,"159240360","TE",NA,NA,183
"WTAP","chr6_159748590_159748934_+","chr6_159748369_159753460_+","III",159748650,0.604,0.396,0.543,-0.286,0.021,0.065,"159749419","TE",NA,NA,5960
"WTIP","chr19_34498562_34498717_+","chr19_34495771_34500129_+","III",34498564,0.208,0.792,0.201,0.136,0.828,1,"34498694","TE",NA,NA,936
"ZBP1","chr20_57606813_57607300_-","chr20_57604769_57610149_-","II",57607053,0,1,0.481,NA,NA,NA,"57606750","pAread",105,0,NA
"ZDHHC21","chr9_14622541_14622691_-","chr9_14619682_14639896_-","II",14622650,0.157,0.843,0.414,0.151,0.85,1,"14620421","pAread",702,0,NA
"ZKSCAN7","chr3_44577305_44577460_+","chr3_44568433_44582972_+","III",44577372,0.526,0.242,0.832,0.4,0.792,1,"44581652","TE",NA,NA,101
"ZKSCAN7","chr3_44577305_44578289_+","chr3_44568433_44582972_+","III",44577372,0.526,0.242,0.832,0.4,0.792,1,"44581652","TE",NA,NA,225
"ZKSCAN7","chr3_44577305_44581621_+","chr3_44568433_44582972_+","III",44577372,0.526,0.242,0.832,0.4,0.792,1,"44581652","TE",NA,NA,200
"ZNF320","chr19_52880446_52881983_-","chr19_52874072_52888127_-","III",52880596,0.359,0.204,0.13,-0.655,0.001,0.003,"52876172,52876180,52880223","TE",NA,NA,157
"ZNF880","chr19_52379421_52379679_+","chr19_52374427_52383849_+","III",52379530,0.342,0.205,0.352,-0.794,0,0,"52380075","TE",NA,NA,129
